name,type,condition,accuracy
total,trial_corners_forced,all,0.796091505393831
total,trial_corners_forced,12,0.7999681477942348
total,trial_corners_forced,34,0.8121251418382234
total,trial_corners_forced,23,0.7949192462987887
total,trial_corners_forced,41,0.7952987267384917
total,trial_corners_forced,24,0.7786198000644953
total,trial_corners_forced,13,0.7955944282474895
anni_cor,trial_corners_forced,all,0.774
corners_kh38,trial_corners_forced,all,0.815
corners_kh39,trial_corners_forced,all,0.844
corners_kh40,trial_corners_forced,all,0.894
corners_kh41,trial_corners_forced,all,0.825
corners_kh42,trial_corners_forced,all,0.687
corners_kh43,trial_corners_forced,all,0.736
corners_kh44,trial_corners_forced,all,0.795
corners_kh45,trial_corners_forced,all,0.763
corners_kh46,trial_corners_forced,all,0.769
corners_kh47,trial_corners_forced,all,0.794
corners_kh53,trial_corners_forced,all,0.772
corners_kh54,trial_corners_forced,all,0.786
kh00_corners,trial_corners_forced,all,0.859
kh25_corners,trial_corners_forced,all,0.756
kh26_corners,trial_corners_forced,all,0.755
kh27_corners,trial_corners_forced,all,0.726
kh28_corners,trial_corners_forced,all,0.819
kh29_corners,trial_corners_forced,all,0.906
kh30_corners,trial_corners_forced,all,0.798
kh31_corners,trial_corners_forced,all,0.872
kh33_corners,trial_corners_forced,all,0.832
kh34_corners,trial_corners_forced,all,0.822
kh35_corners,trial_corners_forced,all,0.815
kh36_corners,trial_corners_forced,all,0.859
kh37_corners,trial_corners_forced,all,0.7751046025104602
kh48_corners,trial_corners_forced,all,0.84
kh49_corners,trial_corners_forced,all,0.743
kh50_corners,trial_corners_forced,all,0.595
kh51_corners,trial_corners_forced,all,0.6673346693386774
kh52_corners,trial_corners_forced,all,0.837
laurilab,trial_corners_forced,all,0.768
otto,trial_corners_forced,all,0.863265306122449
Samuel,trial_corners_forced,all,0.8734693877551021
teemu,trial_corners_forced,all,0.7357142857142858
tero_eta,trial_corners_forced,all,0.866
anni_cor,trial_corners_forced,12,0.7807486631016043
corners_kh38,trial_corners_forced,12,0.8707865168539326
corners_kh39,trial_corners_forced,12,0.855
corners_kh40,trial_corners_forced,12,0.8700564971751412
corners_kh41,trial_corners_forced,12,0.8364779874213837
corners_kh42,trial_corners_forced,12,0.6858974358974359
corners_kh43,trial_corners_forced,12,0.7005988023952096
corners_kh44,trial_corners_forced,12,0.8152173913043478
corners_kh45,trial_corners_forced,12,0.7808988764044944
corners_kh46,trial_corners_forced,12,0.725
corners_kh47,trial_corners_forced,12,0.8514285714285714
corners_kh53,trial_corners_forced,12,0.8382352941176471
corners_kh54,trial_corners_forced,12,0.7283236994219653
kh00_corners,trial_corners_forced,12,0.8092105263157895
kh25_corners,trial_corners_forced,12,0.8074534161490683
kh26_corners,trial_corners_forced,12,0.7320261437908496
kh27_corners,trial_corners_forced,12,0.7261146496815286
kh28_corners,trial_corners_forced,12,0.8068181818181818
kh29_corners,trial_corners_forced,12,0.8809523809523809
kh30_corners,trial_corners_forced,12,0.8659217877094972
kh31_corners,trial_corners_forced,12,0.8494623655913979
kh33_corners,trial_corners_forced,12,0.8390804597701149
kh34_corners,trial_corners_forced,12,0.8786127167630058
kh35_corners,trial_corners_forced,12,0.7797619047619048
kh36_corners,trial_corners_forced,12,0.8433734939759037
kh37_corners,trial_corners_forced,12,0.76875
kh48_corners,trial_corners_forced,12,0.84375
kh49_corners,trial_corners_forced,12,0.7696969696969697
kh50_corners,trial_corners_forced,12,0.6057142857142858
kh51_corners,trial_corners_forced,12,0.6775956284153005
kh52_corners,trial_corners_forced,12,0.8452380952380952
laurilab,trial_corners_forced,12,0.7560975609756098
otto,trial_corners_forced,12,0.8141025641025641
Samuel,trial_corners_forced,12,0.8864864864864865
teemu,trial_corners_forced,12,0.7650273224043715
tero_eta,trial_corners_forced,12,0.8757763975155279
anni_cor,trial_corners_forced,34,0.7803468208092486
corners_kh38,trial_corners_forced,34,0.8205128205128205
corners_kh39,trial_corners_forced,34,0.8589743589743589
corners_kh40,trial_corners_forced,34,0.9323308270676691
corners_kh41,trial_corners_forced,34,0.8024691358024691
corners_kh42,trial_corners_forced,34,0.7058823529411765
corners_kh43,trial_corners_forced,34,0.8258426966292135
corners_kh44,trial_corners_forced,34,0.8372093023255814
corners_kh45,trial_corners_forced,34,0.7218934911242604
corners_kh46,trial_corners_forced,34,0.7204968944099379
corners_kh47,trial_corners_forced,34,0.8248587570621468
corners_kh53,trial_corners_forced,34,0.7719298245614035
corners_kh54,trial_corners_forced,34,0.8098591549295775
kh00_corners,trial_corners_forced,34,0.8662790697674418
kh25_corners,trial_corners_forced,34,0.8058823529411765
kh26_corners,trial_corners_forced,34,0.7314285714285714
kh27_corners,trial_corners_forced,34,0.75
kh28_corners,trial_corners_forced,34,0.825136612021858
kh29_corners,trial_corners_forced,34,0.9254658385093167
kh30_corners,trial_corners_forced,34,0.8389261744966443
kh31_corners,trial_corners_forced,34,0.9012345679012346
kh33_corners,trial_corners_forced,34,0.8719512195121951
kh34_corners,trial_corners_forced,34,0.8682634730538922
kh35_corners,trial_corners_forced,34,0.8171428571428572
kh36_corners,trial_corners_forced,34,0.8786127167630058
kh37_corners,trial_corners_forced,34,0.74375
kh48_corners,trial_corners_forced,34,0.8305084745762712
